Time and Date,Electricity:Facility ,Heating:Electricity ,Cooling:Electricity ,InteriorLights:Electricity ,ExteriorLights:Electricity ,InteriorEquipment:Electricity ,Fans:Electricity ,Pumps:Electricity ,Gas:Facility ,Heating:Gas ,WaterSystems:Gas 
 12/19  09:00:00,59246529.19,0,0,32261801.53,0,17820173.74,9164553.918,1.45E-05,65888487.84,64217307.02,1671180.819
 12/19  10:00:00,59246529.19,0,0,32261801.53,0,17820173.74,9164553.918,1.45E-05,48065826.4,46394580.84,1671245.566
 12/19  11:00:00,59246529.19,0,0,32261801.53,0,17820173.74,9164553.918,1.45E-05,31410068.79,28139457.78,3270611.008
 12/19  12:00:00,59246529.19,0,0,32261801.53,0,17820173.74,9164553.918,1.45E-05,19038406.49,17367004.78,1671401.704
 12/19  13:00:00,57266509.89,0,0,32261801.53,0,15840154.44,9164553.918,1.45E-05,21255842.26,19584593.8,1671248.461
 12/19  14:00:00,59258825.2,0,12296.00659,32261801.53,0,17820173.74,9164553.918,1.45E-05,17234874.28,15563577.9,1671296.373
 12/19  15:00:00,59246529.19,0,0,32261801.53,0,17820173.74,9164553.918,1.45E-05,13883211.14,12212037.09,1671174.053
 12/19  16:00:00,59246529.19,0,0,32261801.53,0,17820173.74,9164553.918,1.45E-05,9392610.279,7721451.627,1671158.652
 12/19  17:00:00,62565729.19,0,0,32261801.53,3319200,17820173.74,9164553.918,1.45E-05,7463418.911,5792183.673,1671235.238
 12/19  18:00:00,46945473.51,0,0,17923223.07,9957600,9900096.523,9164553.918,1.45E-05,23061560.91,21390317.57,1671243.342
 12/19  19:00:00,37796164.98,0,0,10753933.84,9957600,7920077.219,9164553.918,1.45E-05,36556003.16,34884926.54,1671076.619
 12/19  20:00:00,37796164.98,0,0,10753933.84,9957600,7920077.219,9164553.918,1.45E-05,43307633.62,41636483.52,1671150.108
 12/19  21:00:00,34211520.37,0,0,7169289.229,9957600,7920077.219,9164553.918,1.45E-05,47020905,45349842.1,1671062.89
 12/19  22:00:00,34211520.37,0,0,7169289.229,9957600,7920077.219,9164553.918,1.45E-05,45545680.24,45473680.24,72000
 12/19  23:00:00,21462321.83,0,0,3584644.615,9957600,7920077.219,0,1.45E-05,1671076.599,0,1671076.599
 12/19  24:00:00,19669999.53,0,0,1792322.307,9957600,7920077.219,0,1.45E-05,1671045.271,0,1671045.271
 12/20  01:00:00,19669999.53,0,0,1792322.307,9957600,7920077.219,0,1.45E-05,72000,0,72000
 12/20  02:00:00,19669999.53,0,0,1792322.307,9957600,7920077.219,0,1.45E-05,1671023.268,0,1671023.268
 12/20  03:00:00,20214360.31,0,0,1792322.307,9957600,7920077.219,544360.7885,1.45E-05,1845018.372,174017.3186,1671001.054
 12/20  04:00:00,23614642.57,0,0,1792322.307,9957600,7920077.219,3944643.043,1.45E-05,1804712.57,1732712.57,72000
 12/20  05:00:00,24881874.2,0,0,1792322.307,9957600,7920077.219,5211874.677,1.45E-05,7690884.405,6019834.972,1671049.433
 12/20  06:00:00,26611670.99,0,0,3584644.615,9957600,7920077.219,5149349.161,1.45E-05,10932750.86,9261634.345,1671116.515
 12/20  07:00:00,30626875.75,0,0,3584644.615,9957600,7920077.219,9164553.918,1.45E-05,82774442.28,82702442.28,72000
 12/20  08:00:00,31157764.98,0,0,10753933.84,3319200,7920077.219,9164553.918,1.45E-05,74734353.02,73063230.15,1671122.87
 12/20  09:00:00,59246529.19,0,0,32261801.53,0,17820173.74,9164553.918,1.45E-05,36047803.97,34376547.91,1671256.065
 12/20  10:00:00,59246529.19,0,0,32261801.53,0,17820173.74,9164553.918,1.45E-05,24538932.08,22867623.23,1671308.853
 12/20  11:00:00,59246529.19,0,0,32261801.53,0,17820173.74,9164553.918,1.45E-05,16506762.32,14835602.15,1671160.166
 12/20  12:00:00,59246529.19,0,0,32261801.53,0,17820173.74,9164553.918,1.45E-05,11001891.98,9330586.466,1671305.512
 12/20  13:00:00,57266509.89,0,0,32261801.53,0,15840154.44,9164553.918,1.45E-05,12312520.75,9041807.142,3270713.612
 12/20  14:00:00,59260514.2,0,13985.0035,32261801.53,0,17820173.74,9164553.918,1.45E-05,3618437.635,1946994.471,1671443.164
 12/20  15:00:00,59246529.19,0,0,32261801.53,0,17820173.74,9164553.918,1.45E-05,1722144.114,50932.88632,1671211.227
 12/20  16:00:00,59246529.19,0,0,32261801.53,0,17820173.74,9164553.918,1.45E-05,1671200.067,0,1671200.067
 12/20  17:00:00,62565729.19,0,0,32261801.53,3319200,17820173.74,9164553.918,1.45E-05,1671339.384,0,1671339.384
 12/20  18:00:00,46945473.51,0,0,17923223.07,9957600,9900096.523,9164553.918,1.45E-05,13538021.27,11866776.81,1671244.458
 12/20  19:00:00,37796164.98,0,0,10753933.84,9957600,7920077.219,9164553.918,1.45E-05,23794081.7,22123022.16,1671059.54
 12/20  20:00:00,37796164.98,0,0,10753933.84,9957600,7920077.219,9164553.918,1.45E-05,27960161.05,26289054.3,1671106.747
 12/20  21:00:00,34211520.37,0,0,7169289.229,9957600,7920077.219,9164553.918,1.45E-05,29506007.2,29434007.2,72000
 12/20  22:00:00,34211520.37,0,0,7169289.229,9957600,7920077.219,9164553.918,1.45E-05,30305252.61,28634133.9,1671118.71
 12/20  23:00:00,21462321.83,0,0,3584644.615,9957600,7920077.219,0,1.45E-05,1670978.197,0,1670978.197
 12/20  24:00:00,19669999.53,0,0,1792322.307,9957600,7920077.219,0,1.45E-05,72000,0,72000
 12/21  01:00:00,19669999.53,0,0,1792322.307,9957600,7920077.219,0,1.45E-05,1671094.455,0,1671094.455
 12/21  02:00:00,19669999.53,0,0,1792322.307,9957600,7920077.219,0,1.45E-05,1671106.573,0,1671106.573
 12/21  03:00:00,19669999.53,0,0,1792322.307,9957600,7920077.219,0,1.45E-05,72000,0,72000
 12/21  04:00:00,19669999.53,0,0,1792322.307,9957600,7920077.219,0,1.45E-05,1671043.828,0,1671043.828
 12/21  05:00:00,19669999.53,0,0,1792322.307,9957600,7920077.219,0,1.45E-05,1671022.002,0,1671022.002
 12/21  06:00:00,21462321.83,0,0,3584644.615,9957600,7920077.219,0,1.45E-05,72000,0,72000
 12/21  07:00:00,30626875.75,0,0,3584644.615,9957600,7920077.219,9164553.918,1.45E-05,57189892.35,55518830.7,1671061.657
 12/21  08:00:00,31157764.98,0,0,10753933.84,3319200,7920077.219,9164553.918,1.45E-05,48484363.59,46813255.21,1671108.386
 12/21  09:00:00,59265833.91,0,19304.72213,32261801.53,0,17820173.74,9164553.918,1.45E-05,19478228.49,17806909.21,1671319.282
 12/21  10:00:00,59277769.06,0,31239.87012,32261801.53,0,17820173.74,9164553.918,1.45E-05,8709109.984,7037942.698,1671167.285
 12/21  11:00:00,59257191.99,0,10662.80166,32261801.53,0,17820173.74,9164553.918,1.45E-05,2120134.989,448888.9049,1671246.084
 12/21  12:00:00,59280357.81,0,33828.61793,32261801.53,0,17820173.74,9164553.918,1.45E-05,1671191.66,0,1671191.66
 12/21  13:00:00,57276481.82,0,9971.935304,32261801.53,0,15840154.44,9164553.918,1.45E-05,1715823.991,44619.27842,1671204.712
 12/21  14:00:00,59383260.44,0,136731.2433,32261801.53,0,17820173.74,9164553.918,1.45E-05,3270660.073,0,3270660.073
